code;nom;province;region;adresse
A35;ASBL Petanque Club De Genappe;Brabant wallon;Wallonie;rue de Ways, 115z - 1470 Genappe
A21;Kiki Tubizien;Brabant wallon;Wallonie;Chemin Massart, 66a - 1480 Tubize
A12;La Petanque Jauchoise;Brabant wallon;Wallonie;Ruelle du Cuvé, 2 - 1350 Orp-Jauche
A05;La Wavrienne;Brabant wallon;Wallonie;Avenue du Centre Sportif, 20 - 1300 Wavre
A31;PC Caramboul;Brabant wallon;Wallonie;Chaussée Maîeur Habils,145 - 1430 Bierghes
A44;Pachy PC;Brabant wallon;Wallonie;Rue Théophile Delbar, 33/4 - 1410 Waterloo
A02;Petanque Club Genval;Brabant wallon;Wallonie;rue de la Fontaine, 3 - 1332 Genval
A13;Royal Blanc Ry Ottignies;Brabant wallon;Wallonie;Bld Baudouin 1er - 1348 Louvain-La-Neuve
A37;Royal CP Limaloise;Brabant wallon;Wallonie;Rue Bois l'Abbé, 7 - 1300 Limal
A28;Royal PC Paradis;Brabant wallon;Wallonie;rue Ernest Laurent 215 - 1420 Braine-L'Alleud
A25;Royal Petanque Club La Hulpe;Brabant wallon;Wallonie;Avenue René Soyer, 7 - 1310 La Hulpe
A19;Royal Petanque Club Nivelloise;Brabant wallon;Wallonie;Chaussée de Bruxelles, 91b - 1400 Nivelles
H03;Climbia's La Ruche;Hainaut;Wallonie;Rue Puissant - 6040 Jumet (Cfr H20 PC A.S. Jumet)
H06;Ernelle Monceau;Hainaut;Wallonie;rue Albert Camus, 20 - 6031 Monceau
H14;Kiki Leval PC;Hainaut;Wallonie;rue Jean Leroy, 1 - 6500 Leval-Chaudeville
H04;La Fanny Bivort;Hainaut;Wallonie;rue de Forchies, 14 - 6140 Fontaine L'Evêque
H08;La Petanque Montoise;Hainaut;Wallonie;rue de la Boulangerie, 2 - 7000 Mons
H17;Les Boules Noires;Hainaut;Wallonie;rue Pont d'Arcole, 65 - 6060 Gilly
H33;Les Six Boulettes Elouges;Hainaut;Wallonie;Route d'Elouges - 7370 Elouges
H32;Masice Ravel Petanque;Hainaut;Wallonie;rue des Anglais, 12B - 7333 Tertre
H20;PC A.S. Jumet;Hainaut;Wallonie;Rue du Chemin Vert, 25B - 6042 Lodelinsart
H09;PC Au Boule'o;Hainaut;Wallonie;Chaussée de Jolimont, 50 - 7100 Haine-Saint-Pierre
H19;PC Boussu;Hainaut;Wallonie;rue Zéphirin Caron, 1 - 7333 Tertre
H27;PC Chatelet;Hainaut;Wallonie;rue de Couillet, 146B - 6200 Chatelet
H07;PC La Botte;Hainaut;Wallonie;rue de la Gendarmerie, 1 - 6590 Momignies
H11;PC Le Pays Noir Farciennes;Hainaut;Wallonie;rue Centrale, 45 - 6240 Pironchamps
H26;PC Lessines;Hainaut;Wallonie;rue du Pont de pierre, 1 - 7860 Lessines
H12;PC Lutosa;Hainaut;Wallonie;Avenue des Sports, 1 - 7900 Leuze-En-Hainaut
01-024;PC Moeskroen;Hainaut;Wallonie;Av. de la Bourgogne 1, 7700 Mouscron
H23;PC Tertre Esperance;Hainaut;Wallonie;rue Zéphirin Caron, 1 - 7333 Tertre
H16;PC Thulisien;Hainaut;Wallonie;Place de Thuillies, 2 - 6536 Thuillies
H15;Petanque Club Le Roux;Hainaut;Wallonie;rue de la Maladrie, 9A - 5070 Le Roux
H05;Petanque Club Les Marsupilamis;Hainaut;Wallonie;rue de Sourenne, 9A - 6470 Sautin (Sivry-Rance)
H10;Petanque Frasnoise;Hainaut;Wallonie;rue Jean-Baptiste Loriaux, 3A - 6210 Les Bons Villiers (Complexe sportif)
H01;Royal PC Les Carolos;Hainaut;Wallonie;Rue du Chemin Vert ,125B - 6042 Lodelinsart
H02;Royal Petanque Club Marcinelle;Hainaut;Wallonie;Av. Eugène Mascaux, 879 - 6001 Marcinelle
H30;Tournai Petanque Club (Tpc);Hainaut;Wallonie;Rue Albert 1er ,112 - 7538 Vezon
B13;Bon Accueil Seresien;Liège;Wallonie;rue Colson, 29 - 4100 Seraing
B22;C.P.G.H.;Liège;Wallonie;rue Adrien Materne, 80 - 4460 Grâce-Hollogne
B21;La Blegnytoise;Liège;Wallonie;rue d'El Potale, 42 - 4671 Barchon
B32;La Boule Anthisnoise ASBL;Liège;Wallonie;rue de la Libération, 1 - 4160 Anthisnes
B09;La Boule D'Aaz De Haccourt;Liège;Wallonie;rue des 7 Bonniers, 25 - 4684 Haccourt
B34;La Fanny Pepinster;Liège;Wallonie;rue Jean Simon, 9 - 4860 Pepinster
B20;La Fanny Visetoise;Liège;Wallonie;Porte de Souvré, 18 - 4600 Vise
